edge_list,label,num_edges,num_nodes,density,is_connected,nr_connected_components,average_path_length,diameter,clustering_coefficient,assortativity,modularity_label_prop,modularity_girvan_newman,most_frequent_degrees,degree_frequencies,degrees,degree_probabilities
"[(0, 2), (1, 5), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (8, 3)]",0,10,11,0.18181818181818182,True,1,2.109090909090909,4,0.0,-0.7037037037037039,0.265,0.19000000000000006,,,"[1, 8, 2]","[0.7272727272727273, 0.09090909090909091, 0.18181818181818182]"
"[(0, 3), (0, 6), (1, 8), (6, 8), (8, 2), (8, 4), (8, 5), (8, 7), (8, 9), (8, 10), (8, 11), (8, 12)]",1,12,13,0.15384615384615385,True,1,2.2051282051282053,4,0.0,-0.7809345794392524,0.24652777777777785,0.17361111111111116,,,"[2, 1, 10]","[0.15384615384615385, 0.7692307692307693, 0.07692307692307693]"
"[(0, 8), (0, 10), (2, 3), (2, 13), (4, 5), (4, 19), (6, 12), (7, 14), (8, 1), (8, 4), (8, 6), (8, 9), (8, 14), (8, 15), (8, 16), (8, 17), (8, 19), (11, 18), (13, 14), (16, 18)]",0,20,20,0.10526315789473684,True,1,2.968421052631579,7,0.06777777777777778,-0.35261923377638776,0.4475,0.47250000000000003,,,"[2, 10, 1, 3]","[0.35, 0.05, 0.5, 0.1]"
"[(0, 1), (0, 2), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (2, 4), (10, 3)]",1,11,11,0.2,True,1,1.9454545454545455,3,0.18434343434343434,-0.741666666666666,0.0,0.0826446280991735,,,"[9, 1, 2]","[0.09090909090909091, 0.6363636363636364, 0.2727272727272727]"
"[(0, 6), (0, 9), (3, 10), (4, 11), (5, 8), (9, 1), (9, 2), (9, 5), (9, 7), (9, 11), (10, 11)]",0,11,12,0.16666666666666666,True,1,2.5606060606060606,5,0.0,-0.41200828157349856,0.42148760330578516,0.3801652892561984,,,"[2, 1, 6, 3]","[0.25, 0.5833333333333334, 0.08333333333333333, 0.08333333333333333]"
"[(0, 5), (1, 7), (2, 20), (2, 27), (2, 30), (2, 33), (3, 14), (4, 12), (4, 16), (5, 7), (5, 17), (6, 9), (6, 26), (6, 31), (7, 4), (7, 6), (7, 8), (7, 13), (7, 22), (7, 23), (7, 24), (7, 27), (7, 32), (7, 34), (7, 35), (8, 29), (9, 24), (10, 21), (12, 9), (17, 18), (20, 22), (22, 10), (23, 19), (23, 24), (26, 21), (26, 23), (27, 11), (27, 14), (27, 15), (27, 21), (27, 23), (27, 25), (27, 33), (31, 28), (33, 8), (33, 9), (33, 10)]",0,47,36,0.0746031746031746,True,1,2.9460317460317462,6,0.024477682811016144,-0.25357611157468113,0.3777727478497057,0.4637845178813943,,,"[1, 3, 13, 4, 2, 9, 5]","[0.4444444444444444, 0.2222222222222222, 0.027777777777777776, 0.08333333333333333, 0.1388888888888889, 0.027777777777777776, 0.05555555555555555]"
"[(0, 5), (2, 4), (4, 6), (5, 1), (5, 3), (5, 4), (5, 7), (5, 8), (5, 9), (5, 12), (5, 13), (5, 14), (5, 15), (5, 18), (11, 20), (14, 10), (14, 17), (14, 20), (16, 19), (20, 19)]",0,20,21,0.09523809523809523,True,1,2.7523809523809524,6,0.0,-0.5597258118889769,0.47875,0.45500000000000007,,,"[1, 12, 3, 4, 2]","[0.7619047619047619, 0.047619047619047616, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616]"
"[(0, 24), (0, 25), (1, 16), (1, 36), (2, 14), (3, 6), (5, 18), (6, 10), (6, 17), (6, 19), (6, 22), (6, 35), (7, 38), (14, 8), (14, 9), (14, 10), (14, 11), (14, 12), (14, 13), (14, 18), (14, 20), (14, 21), (14, 23), (14, 26), (14, 27), (14, 29), (14, 33), (14, 34), (14, 37), (14, 38), (14, 40), (14, 42), (16, 36), (18, 28), (21, 43), (24, 21), (27, 15), (30, 32), (31, 45), (32, 41), (33, 30), (36, 4), (36, 14), (36, 44), (38, 46), (44, 39), (45, 46)]",0,47,47,0.043478260869565216,True,1,3.484736355226642,8,0.04468085106382979,-0.3756444739290017,0.5871435038478949,0.5753734721593481,,,"[2, 1, 5, 21, 6, 3]","[0.2553191489361702, 0.6170212765957447, 0.02127659574468085, 0.02127659574468085, 0.02127659574468085, 0.06382978723404255]"
"[(0, 1), (0, 8), (1, 12), (3, 23), (6, 19), (6, 22), (6, 28), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (8, 9), (8, 10), (8, 11), (8, 12), (8, 13), (8, 14), (8, 15), (8, 16), (8, 17), (8, 20), (8, 24), (8, 25), (8, 26), (8, 27), (8, 29), (13, 20), (15, 20), (15, 21), (19, 18)]",1,32,30,0.0735632183908046,True,1,2.3908045977011496,5,0.06695526695526695,-0.5748598794274392,0.26416015625,0.396484375,,,"[2, 22, 1, 4, 3]","[0.2, 0.03333333333333333, 0.6666666666666666, 0.03333333333333333, 0.06666666666666667]"
"[(0, 15), (4, 16), (7, 11), (10, 14), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (15, 16), (15, 17), (15, 18), (15, 19), (15, 20), (15, 21), (15, 22), (15, 23)]",0,24,24,0.08695652173913043,True,1,2.0652173913043477,4,0.08353174603174603,-0.7958620689655171,0.14322916666666669,0.13020833333333334,,,"[1, 21, 2]","[0.7916666666666666, 0.041666666666666664, 0.16666666666666666]"
